pokedex_number,variant,name,hp,attack,defense,sp_attack,sp_defense,speed,abilities,taken_normal,taken_fire,taken_water,taken_electric,taken_grass,taken_ice,taken_fight,taken_poison,taken_ground,taken_flying,taken_psychic,taken_bug,taken_rock,taken_ghost,taken_dragon,taken_dark,taken_steel,taken_fairy,classification,type1,type2,height_m,weight_kg,percentage_male,is_legendary,generation
9,mega,Blastoise,79,103,120,135,115,78,['Mega Launcher'],1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Shellfish Pokemon,water,,1.6,101.1,88.1,0,6
10,,Caterpie,45,30,35,20,20,45,"['Shield Dust', 'Run Away']",1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Worm Pokemon,bug,,0.3,2.9,50,0,1
11,,Metapod,50,20,55,25,25,30,['Shed Skin'],1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,Cocoon Pokemon,bug,,0.7,9.9,50,0,1
12,,Butterfree,60,45,50,90,80,70,"['Compoundeyes', 'Tinted Lens']",1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1,Butterfly Pokemon,bug,flying,1.1,32,50,0,1
13,,Weedle,40,35,30,20,20,50,"['Shield Dust', 'Run Away']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Hairy Pokemon,bug,poison,0.3,3.2,50,0,1
14,,Kakuna,45,25,50,25,25,35,['Shed Skin'],1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Cocoon Pokemon,bug,poison,0.6,10,50,0,1
15,,Beedrill,65,90,40,45,80,75,"['Swarm', 'Sniper']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Poison Bee Pokemon,bug,poison,1,29.5,50,0,1
15,mega,Beedrill,65,150,40,15,80,145,['Adaptability'],1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Poison Bee Pokemon,bug,poison,1.4,40.5,50,0,6
16,,Pidgey,40,45,40,35,35,56,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Tiny Bird Pokemon,normal,flying,0.3,1.8,50,0,1
17,,Pidgeotto,63,60,55,50,50,71,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Bird Pokemon,normal,flying,1.1,30,50,0,1
18,,Pidgeot,83,80,75,70,70,101,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Bird Pokemon,normal,flying,1.5,39.5,50,0,1
18,mega,Pidgeot,83,80,80,135,80,121,['No Guard'],1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Bird Pokemon,normal,flying,2.2,50.5,50,0,6
19,,Rattata,30,56,35,25,35,72,"['Run Away', 'Guts', 'Hustle']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Mouse Pokemon,normal,,0.3,3.5,50,0,1
19,alolan,Rattata,30,56,35,25,35,72,"['Gluttony', 'Hustle', Thick Fat']",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,Mouse Pokemon,dark,normal,0.3,3.8,50,0,7
20,,Raticate,55,81,60,50,70,97,"['Run Away', 'Guts', 'Hustle']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Mouse Pokemon,normal,,0.7,18.5,50,0,1
20,alolan,Raticate,75,71,70,40,80,77,"['Gluttony', 'Hustle', Thick Fat']",1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2,Mouse Pokemon,dark,normal,0.7,25.5,50,0,7
21,,Spearow,40,60,30,31,31,70,"['Keen Eye', 'Sniper']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Tiny Bird Pokemon,normal,flying,0.3,2,50,0,1
22,,Fearow,65,90,65,61,61,100,"['Keen Eye', 'Sniper']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Beak Pokemon,normal,flying,1.2,38,50,0,1
23,,Ekans,35,60,44,40,54,55,"['Intimidate', 'Shed Skin', 'Unnerve']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Snake Pokemon,poison,,2,6.9,50,0,1
24,,Arbok,60,95,69,65,79,80,"['Intimidate', 'Shed Skin', 'Unnerve']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Cobra Pokemon,poison,,3.5,65,50,0,1
25,,Pikachu,35,55,40,50,50,90,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Mouse Pokemon,electric,,0.4,6,50,0,1
26,,Raichu,60,90,55,90,80,110,"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,Mouse Pokemon,electric,,0.8,30,50,0,1
26,alolan,Raichu,60,85,50,95,85,110,['Surge Surfer'],1,1,1,0.5,1,1,0.5,1,2,0.5,0.5,2,1,2,1,2,0.5,1,Mouse Pokemon,electric,psychic,0.7,21,50,0,7
27,,Sandshrew,50,75,85,20,30,40,"['Sand Veil', 'Sand Rush']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Mouse Pokemon,ground,,0.6,12,50,0,1
27,alolan,Sandshrew,50,75,90,10,35,40,"['Snow Cloak', 'Slush Rush']",0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,Mouse Pokemon,ice,steel,0.7,40,50,0,7
28,,Sandslash,75,100,110,45,55,65,"['Sand Veil', 'Sand Rush']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Mouse Pokemon,ground,,1,29.5,50,0,1
28,alolan,Sandslash,75,100,120,25,65,65,"['Snow Cloak', 'Slush Rush']",0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5,Mouse Pokemon,ice,steel,1.2,55,50,0,7
29,,NidoranF,55,47,52,40,40,41,"['Poison Point', 'Rivalry', 'Hustle']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Pin Pokemon,poison,,0.4,7,0,0,1
30,,Nidorina,70,62,67,55,55,56,"['Poison Point', 'Rivalry', 'Hustle']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Pin Pokemon,poison,,0.8,20,0,0,1
31,,Nidoqueen,90,92,87,75,85,76,"['Poison Point', 'Rivalry', 'Sheer Force']",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,Drill Pokemon,poison,ground,1.3,60,0,0,1
32,,NidoranM,46,57,40,40,40,50,"['Poison Point', 'Rivalry', 'Hustle']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Pin Pokemon,poison,,0.5,9,100,0,1
33,,Nidorino,61,72,57,55,55,65,"['Poison Point', 'Rivalry', 'Hustle']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Poison Pin Pokemon,poison,,0.9,19.5,100,0,1
34,,Nidoking,81,102,77,85,75,85,"['Poison Point', 'Rivalry', 'Sheer Force']",1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,Drill Pokemon,poison,ground,1.4,62,100,0,1
35,,Clefairy,70,45,48,60,65,35,"['Cute Charm', 'Magic Guard', 'Friend Guard']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Fairy Pokemon,fairy,,0.6,7.5,24.6,0,1
36,,Clefable,95,70,73,95,90,60,"['Cute Charm', 'Magic Guard', 'Unaware']",1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,Fairy Pokemon,fairy,,1.3,40,24.6,0,1
37,,Vulpix,38,41,40,50,65,65,"['Flash Fire', 'Drought']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Fox Pokemon,fire,,0.6,9.9,24.6,0,1
37,alolan,Vulpix,38,41,40,50,65,65,"['Snow Cloak', 'Snow Warning']",1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1,Fox Pokemon,ice,,0.6,9.9,24.6,0,7
38,,Ninetales,73,76,75,81,100,100,"['Flash Fire', 'Drought']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Fox Pokemon,fire,,1.1,19.9,24.6,0,1
38,alolan,Ninetales,73,67,75,81,100,109,"['Snow Cloak', 'Snow Warning']",1,2,1,1,1,5,1,2,1,1,1,0.5,2,1,0,0.5,4,1,Fox Pokemon,ice,fairy,1.1,19.9,24.6,0,7
39,,Jigglypuff,115,45,20,45,25,20,"['Cute Charm', 'Competitive', 'Friend Guard']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,Balloon Pokemon,normal,fairy,0.5,5.5,24.6,0,1
40,,Wigglytuff,140,70,45,85,50,45,"['Cute Charm', 'Competitive', 'Frisk']",1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,Balloon Pokemon,normal,fairy,1,12,24.6,0,1
41,,Zubat,40,45,35,30,40,55,"['Inner Focus', 'Infiltrator']",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,Bat Pokemon,poison,flying,0.8,7.5,50,0,1
42,,Golbat,75,80,70,65,75,90,"['Inner Focus', 'Infiltrator']",1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,Bat Pokemon,poison,flying,1.6,55,50,0,1
43,,Oddish,45,50,55,75,65,30,"['Chlorophyll', 'Run Away']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Weed Pokemon,grass,poison,0.5,5.4,50,0,1
44,,Gloom,60,65,70,85,75,40,"['Chlorophyll', 'Stench']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Weed Pokemon,grass,poison,0.8,8.6,50,0,1
45,,Vileplume,75,80,85,110,90,50,"['Chlorophyll', 'Effect Spore']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Flower Pokemon,grass,poison,1.2,18.6,50,0,1
46,,Paras,35,70,55,45,55,25,"['Effect Spore', 'Dry Skin', 'Damp']",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,Mushroom Pokemon,bug,grass,0.3,5.4,50,0,1
47,,Parasect,60,95,80,60,80,30,"['Effect Spore', 'Dry Skin', 'Damp']",1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,Mushroom Pokemon,bug,grass,1,29.5,50,0,1
48,,Venonat,60,55,50,40,55,45,"['Compoundeyes', 'Tinted Lens', 'Run Away']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Insect Pokemon,bug,poison,1,30,50,0,1
49,,Venomoth,70,65,60,90,75,90,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,Poison Moth Pokemon,bug,poison,1.5,12.5,50,0,1
50,,Diglett,10,55,25,35,45,95,"['Sand Veil', 'Arena Trap', 'Sand Force']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Mole Pokemon,ground,,0.2,0.8,50,0,1
50,alolan,Diglett,10,55,30,35,45,90,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,Mole Pokemon,ground,steel,0.2,1,50,0,7
51,,Dugtrio,35,100,50,50,70,120,"['Sand Veil', 'Arena Trap', 'Sand Force']",1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,Mole Pokemon,ground,,0.7,33.3,50,0,1
51,alolan,Dugtrio,35,100,60,50,70,110,"['Sand Veil', 'Tangling Hair', 'Sand Force']",0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5,Mole Pokemon,ground,steel,0.7,66.6,50,0,7
52,,Meowth,40,45,35,40,40,90,"['Pickup', 'Technician', 'Unnerve']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Scratch Cat Pokemon,normal,,0.4,4.2,50,0,1
52,alolan,Meowth,40,35,35,50,40,90,"['Pickup', 'Technician', 'Rattled']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,Scratch Cat Pokemon,dark,,0.4,4.2,50,0,7
53,,Persian,65,70,60,65,65,115,"['Limber', 'Technician', 'Unnerve']",1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,Classy Cat Pokemon,normal,,1,32,50,0,1
53,alolan,Persian,65,60,60,75,65,115,"['Fur Coat', 'Technician', 'Rattled']",1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2,Classy Cat Pokemon,dark,,1.1,33,50,0,7
54,,Psyduck,50,52,48,65,50,55,"['Damp', 'Cloud Nine', 'Swift Swim']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Duck Pokemon,water,,0.8,19.6,50,0,1
55,,Golduck,80,82,78,95,80,85,"['Damp', 'Cloud Nine', 'Swift Swim']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Duck Pokemon,water,,1.7,76.6,50,0,1
56,,Mankey,40,80,35,35,45,70,"['Vital Spirit', 'Anger Point', 'Defiant']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Pig Monkey Pokemon,fighting,,0.5,28,50,0,1
57,,Primeape,65,105,60,60,70,95,"['Vital Spirit', 'Anger Point', 'Defiant']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Pig Monkey Pokemon,fighting,,1,32,50,0,1
58,,Growlithe,55,70,45,70,50,60,"['Intimidate', 'Flash Fire', 'Justified']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Puppy Pokemon,fire,,0.7,19,75.4,0,1
59,,Arcanine,90,110,80,100,80,95,"['Intimidate', 'Flash Fire', 'Justified']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Legendary Pokemon,fire,,1.9,155,75.4,0,1
60,,Poliwag,40,50,40,40,40,90,"['Water Absorb', 'Damp', 'Swift Swim']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Tadpole Pokemon,water,,0.6,12.4,50,0,1
61,,Poliwhirl,65,65,65,50,50,90,"['Water Absorb', 'Damp', 'Swift Swim']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Tadpole Pokemon,water,,1,20,50,0,1
62,,Poliwrath,90,95,95,70,90,70,"['Water Absorb', 'Damp', 'Swift Swim']",1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,Tadpole Pokemon,water,fighting,1.3,54,50,0,1
63,,Abra,25,20,15,105,55,90,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Psi Pokemon,psychic,,0.9,19.5,75.4,0,1
64,,Kadabra,40,35,30,120,70,105,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Psi Pokemon,psychic,,1.3,56.5,75.4,0,1
65,,Alakazam,55,50,45,135,95,120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Psi Pokemon,psychic,,1.5,48,75.4,0,1
65,mega,Alakazam,55,50,65,175,105,150,['Trace'],1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,Psi Pokemon,psychic,,1.2,48,75.4,0,6
66,,Machop,70,80,50,35,35,35,"['Guts', 'No Guard', 'Steadfast']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Superpower Pokemon,fighting,,0.8,19.5,75.4,0,1
67,,Machoke,80,100,70,50,60,45,"['Guts', 'No Guard', 'Steadfast']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Superpower Pokemon,fighting,,1.5,70.5,75.4,0,1
68,,Machamp,90,130,80,65,85,55,"['Guts', 'No Guard', 'Steadfast']",1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,Superpower Pokemon,fighting,,1.6,130,75.4,0,1
69,,Bellsprout,50,75,35,70,30,40,"['Chlorophyll', 'Gluttony']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Flower Pokemon,grass,poison,0.7,4,50,0,1
70,,Weepinbell,65,90,50,85,45,55,"['Chlorophyll', 'Gluttony']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Flycatcher Pokemon,grass,poison,1,6.4,50,0,1
71,,Victreebel,80,105,65,100,70,70,"['Chlorophyll', 'Gluttony']",1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,Flycatcher Pokemon,grass,poison,1.7,15.5,50,0,1
72,,Tentacool,40,40,35,50,100,70,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,Jellyfish Pokemon,water,poison,0.9,45.5,50,0,1
73,,Tentacruel,80,70,65,80,120,100,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,Jellyfish Pokemon,water,poison,1.6,55,50,0,1
74,,Geodude,40,80,100,30,30,20,"['Rock Head', 'Sturdy', 'Sand Veil']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Rock Pokemon,rock,ground,0.4,20,50,0,1
74,alolan,Geodude,40,80,100,30,30,20,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,Rock Pokemon,rock,electric,0.4,20.3,50,0,7
75,,Graveler,55,95,115,45,45,35,"['Rock Head', 'Sturdy', 'Sand Veil']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Rock Pokemon,rock,ground,1,105,50,0,1
75,alolan,Graveler,55,95,115,45,45,35,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,Rock Pokemon,rock,electric,1,110,50,0,7
76,,Golem,80,120,130,55,65,45,"['Rock Head', 'Sturdy', 'Sand Veil']",0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,Megaton Pokemon,rock,ground,1.4,300,50,0,1
76,alolan,Golem,80,120,130,55,65,45,"['Magnet Pull', 'Sturdy', 'Galvanize']",0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1,Megaton Pokemon,rock,electric,1.7,316,50,0,7
77,,Ponyta,50,85,55,65,65,90,"['Run Away', 'Flash Fire', 'Flame Body']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Fire Horse Pokemon,fire,,1,30,50,0,1
78,,Rapidash,65,100,70,80,80,105,"['Run Away', 'Flash Fire', 'Flame Body']",1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,Fire Horse Pokemon,fire,,1.7,95,50,0,1
79,,Slowpoke,90,65,65,40,40,15,"['Oblivious', 'Own Tempo', 'Regenerator']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,Dopey Pokemon,water,psychic,1.2,36,50,0,1
80,,Slowbro,95,75,110,100,80,30,"['Oblivious', 'Own Tempo', 'Regenerator']",1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,Hermit Crab Pokemon,water,psychic,1.6,78.5,50,0,1
80,mega,Slowbro,95,75,180,130,80,30,['Shell Armor'],1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1,Hermit Crab Pokemon,water,psychic,2,120,50,0,6
81,,Magnemite,25,35,70,95,55,45,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,Magnet Pokemon,electric,steel,0.3,6,,0,1
82,,Magneton,50,60,95,120,70,70,"['Magnet Pull', 'Sturdy', 'Analytic']",0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5,Magnet Pokemon,electric,steel,1,60,,0,1
83,,Farfetch'd,52,90,55,58,62,60,"['Keen Eye', 'Inner Focus', 'Defiant']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Wild Duck Pokemon,normal,flying,0.8,15,50,0,1
84,,Doduo,35,85,45,35,35,75,"['Run Away', 'Early Bird', 'Tangled Feet']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Twin Bird Pokemon,normal,flying,1.4,39.2,50,0,1
85,,Dodrio,60,110,70,60,60,110,"['Run Away', 'Early Bird', 'Tangled Feet']",1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,Triple Bird Pokemon,normal,flying,1.8,85.2,50,0,1
86,,Seel,65,45,55,45,70,45,"['Thick Fat', 'Hydration', 'Ice Body']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Sea Lion Pokemon,water,,1.1,90,50,0,1
87,,Dewgong,90,70,80,70,95,70,"['Thick Fat', 'Hydration', 'Ice Body']",1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,Sea Lion Pokemon,water,ice,1.7,120,50,0,1
88,,Grimer,80,80,50,40,50,25,"['Stench', 'Sticky Hold', 'Poison Touch']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Sludge Pokemon,poison,,0.9,30,50,0,1
88,alolan,Grimer,80,80,50,40,50,25,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,Sludge Pokemon,poison,dark,0.7,42,50,0,7
89,,Muk,105,105,75,65,100,50,"['Stench', 'Sticky Hold', 'Poison Touch']",1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,Sludge Pokemon,poison,,1.2,30,50,0,1
89,alolan,Muk,105,105,75,65,100,50,"['Poison Touch', 'Gluttony', 'Power of Alchemy']",1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1,Sludge Pokemon,poison,dark,1,52,50,0,7
90,,Shellder,30,65,100,45,25,40,"['Shell Armor', 'Skill Link', 'Overcoat']",1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,Bivalve Pokemon,water,,0.3,4,50,0,1
91,,Cloyster,50,95,180,85,45,70,"['Shell Armor', 'Skill Link', 'Overcoat']",1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1,Bivalve Pokemon,water,ice,1.5,132.5,50,0,1
92,,Gastly,30,35,30,100,35,80,['Levitate'],0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,Gas Pokemon,ghost,poison,1.3,0.1,50,0,1
93,,Haunter,45,50,45,115,55,95,['Levitate'],0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5,Gas Pokemon,ghost,poison,1.6,0.1,50,0,1
