pokedex_id;variant;name;hp;attack;defense;sp_attack;sp_defense;speed;abilities;taken_normal;taken_fire;taken_water;taken_electric;taken_grass;taken_ice;taken_fight;taken_poison;taken_ground;taken_flying;taken_psychic;taken_bug;taken_rock;taken_ghost;taken_dragon;taken_dark;taken_steel;taken_fairy;classification;type1;type2;height_m;weight_kg;percentage_male;is_legendary;generation;catch_rate;moves
8;;Wartortle;59;63;80;65;80;58;['Torrent', 'Rain Dish'];1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1;Turtle Pokemon;water;;1;22.5;88.1;0;1;165;['Rapid Spin', 'Aqua Tail', 'Skull Bash', 'Hydro Pump', 'Bubble', 'Bite', 'Tackle', 'Water Pulse', 'Water Gun']
9;;Blastoise;79;83;100;85;105;78;['Torrent', 'Rain Dish'];1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1;Shellfish Pokemon;water;;1.6;85.5;88.1;0;1;60;['Rapid Spin', 'Aqua Tail', 'Skull Bash', 'Hydro Pump', 'Bubble', 'Bite', 'Tackle', 'Water Pulse', 'Flash Cannon', 'Water Gun']
9;mega;Blastoise;79;103;120;135;115;78;['Mega Launcher'];1;0.5;0.5;2;2;0.5;1;1;1;1;1;1;1;1;1;1;0.5;1;Shellfish Pokemon;water;;1.6;101.1;88.1;0;6;35;['Rapid Spin', 'Aqua Tail', 'Skull Bash', 'Hydro Pump', 'Bubble', 'Bite', 'Tackle', 'Water Pulse', 'Flash Cannon', 'Water Gun']
10;;Caterpie;45;30;35;20;20;45;['Shield Dust', 'Run Away'];1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1;Worm Pokemon;bug;;0.3;2.9;50;0;1;255;['Bug Bite', 'Tackle']
11;;Metapod;50;20;55;25;25;30;['Shed Skin'];1;2;1;1;0.5;1;0.5;1;0.5;2;1;1;2;1;1;1;1;1;Cocoon Pokemon;bug;;0.7;9.9;50;0;1;255;['Snore', 'Bug Bite', 'Tackle']
12;;Butterfree;60;45;50;90;80;70;['Compoundeyes', 'Tinted Lens'];1;2;1;2;0.25;2;0.25;1;0;2;1;0.5;4;1;1;1;1;1;Butterfly Pokemon;bug;flying;1.1;32;50;0;1;170;['Silver Wind', 'Tackle', 'Gust', 'Psybeam', 'Confusion', 'Air Slash', 'Bug Bite', 'Bug Buzz']
13;;Weedle;40;35;30;20;20;50;['Shield Dust', 'Run Away'];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Hairy Pokemon;bug;poison;0.3;3.2;50;0;1;255;['Bug Bite', 'Poison Sting']
14;;Kakuna;45;25;50;25;25;35;['Shed Skin'];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Cocoon Pokemon;bug;poison;0.6;10;50;0;1;255;['Bug Bite', 'Poison Sting']
15;;Beedrill;65;90;40;45;80;75;['Swarm', 'Sniper'];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Poison Bee Pokemon;bug;poison;1;29.5;50;0;1;170;['Fury Attack', 'Rage', 'Pursuit', 'Poison Jab', 'Endeavor', 'Fell Stinger', 'Venoshock', 'Pin Missile', 'Assurance', 'Twineedle', 'Bug Bite', 'Poison Sting']
15;mega;Beedrill;65;150;40;15;80;145;['Adaptability'];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Poison Bee Pokemon;bug;poison;1.4;40.5;50;0;6;95;['Fury Attack', 'Rage', 'Pursuit', 'Poison Jab', 'Endeavor', 'Fell Stinger', 'Venoshock', 'Pin Missile', 'Assurance', 'Twineedle', 'Bug Bite', 'Poison Sting']
16;;Pidgey;40;45;40;35;35;56;['Keen Eye', 'Tangled Feet', 'Big Pecks'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Tiny Bird Pokemon;normal;flying;0.3;1.8;50;0;1;245;['Wing Attack', 'Twister', 'Hurricane', 'Tackle', 'Gust', 'Quick Attack', 'Air Slash']
17;;Pidgeotto;63;60;55;50;50;71;['Keen Eye', 'Tangled Feet', 'Big Pecks'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Bird Pokemon;normal;flying;1.1;30;50;0;1;185;['Wing Attack', 'Twister', 'Hurricane', 'Tackle', 'Gust', 'Quick Attack', 'Air Slash']
18;;Pidgeot;83;80;75;70;70;101;['Keen Eye', 'Tangled Feet', 'Big Pecks'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Bird Pokemon;normal;flying;1.5;39.5;50;0;1;115;['Wing Attack', 'Twister', 'Hurricane', 'Tackle', 'Gust', 'Quick Attack', 'Air Slash']
18;mega;Pidgeot;83;80;80;135;80;121;['No Guard'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Bird Pokemon;normal;flying;2.2;50.5;50;0;6;45;['Wing Attack', 'Twister', 'Hurricane', 'Tackle', 'Gust', 'Quick Attack', 'Air Slash']
19;;Rattata;30;56;35;25;35;72;['Run Away', 'Guts', 'Hustle'];1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1;Mouse Pokemon;normal;;0.3;3.5;50;0;1;245;['Pursuit', 'Double-Edge', 'Endeavor', 'Crunch', 'Bite', 'Super Fang', 'Tackle', 'Sucker Punch', 'Assurance', 'Quick Attack', 'Hyper Fang']
19;alolan;Rattata;30;56;35;25;35;72;['Gluttony', 'Hustle', Thick Fat'];1;1;1;1;1;1;4;1;1;1;0;2;1;0;1;0.5;1;2;Mouse Pokemon;dark;normal;0.3;3.8;50;0;7;245;['Pursuit', 'Double-Edge', 'Endeavor', 'Crunch', 'Bite', 'Super Fang', 'Tackle', 'Sucker Punch', 'Assurance', 'Quick Attack', 'Hyper Fang']
20;;Raticate;55;81;60;50;70;97;['Run Away', 'Guts', 'Hustle'];1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1;Mouse Pokemon;normal;;0.7;18.5;50;0;1;160;['Pursuit', 'Double-Edge', 'Endeavor', 'Crunch', 'Bite', 'Super Fang', 'Tackle', 'Sucker Punch', 'Assurance', 'Quick Attack', 'Hyper Fang']
20;alolan;Raticate;75;71;70;40;80;77;['Gluttony', 'Hustle', Thick Fat'];1;1;1;1;1;1;4;1;1;1;0;2;1;0;1;0.5;1;2;Mouse Pokemon;dark;normal;0.7;25.5;50;0;7;160;['Pursuit', 'Double-Edge', 'Endeavor', 'Crunch', 'Bite', 'Super Fang', 'Tackle', 'Sucker Punch', 'Assurance', 'Quick Attack', 'Hyper Fang']
21;;Spearow;40;60;30;31;31;70;['Keen Eye', 'Sniper'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Tiny Bird Pokemon;normal;flying;0.3;2;50;0;1;240;['Fury Attack', 'Pursuit', 'Aerial Ace', 'Assurance', 'Peck', 'Drill Peck']
22;;Fearow;65;90;65;61;61;100;['Keen Eye', 'Sniper'];1;1;1;2;0.5;2;1;1;0;1;1;0.5;2;0;1;1;1;1;Beak Pokemon;normal;flying;1.2;38;50;0;1;140;['Fury Attack', 'Pursuit', 'Drill Run', 'Aerial Ace', 'Drill Peck', 'Assurance', 'Peck', 'Pluck']
23;;Ekans;35;60;44;40;54;55;['Intimidate', 'Shed Skin', 'Unnerve'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Snake Pokemon;poison;;2;6.9;50;0;1;230;['Acid Spray', 'Gunk Shot', 'Belch', 'Bite', 'Spit Up', 'Acid', 'Wrap', 'Mud Bomb', 'Poison Sting']
24;;Arbok;60;95;69;65;79;80;['Intimidate', 'Shed Skin', 'Unnerve'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Cobra Pokemon;poison;;3.5;65;50;0;1;140;['Ice Fang', 'Acid Spray', 'Gunk Shot', 'Belch', 'Crunch', 'Bite', 'Acid', 'Thunder Fang', 'Spit Up', 'Fire Fang', 'Wrap', 'Mud Bomb', 'Poison Sting']
25;;Pikachu;35;55;40;50;50;90;['Static', 'Lightningrod'];1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1;Mouse Pokemon;electric;;0.4;6;50;0;1;205;['Thunder', 'Thunder Shock', 'Electro Ball', 'Wild Charge', 'Discharge', 'Slam', 'Spark', 'Nuzzle', 'Thunderbolt', 'Uproar', 'Quick Attack', 'Feint']
26;;Raichu;60;90;55;90;80;110;['Static', 'Lightningrod'];1;1;1;0.5;1;1;1;1;2;0.5;1;1;1;1;1;1;0.5;1;Mouse Pokemon;electric;;0.8;30;50;0;1;110;['Thunder', 'Thunder Shock', 'Electro Ball', 'Wild Charge', 'Discharge', 'Slam', 'Counter', 'Spark', 'Nuzzle', 'Surf', 'Thunderbolt', 'Fly', 'Quick Attack', 'Feint']
26;alolan;Raichu;60;85;50;95;85;110;['Surge Surfer'];1;1;1;0.5;1;1;0.5;1;2;0.5;0.5;2;1;2;1;2;0.5;1;Mouse Pokemon;electric;psychic;0.7;21;50;0;7;110;['Thunder', 'Thunder Shock', 'Electro Ball', 'Wild Charge', 'Discharge', 'Slam', 'Counter', 'Spark', 'Nuzzle', 'Surf', 'Psychic', 'Thunderbolt', 'Fly', 'Quick Attack', 'Feint']
27;;Sandshrew;50;75;85;20;30;40;['Sand Veil', 'Sand Rush'];1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1;Mouse Pokemon;ground;;0.6;12;50;0;1;225;['Rapid Spin', 'Gyro Ball', 'Fury Swipes', 'Earthquake', 'Dig', 'Slash', 'Fury Cutter', 'Magnitude', 'Swift', 'Scratch', 'Sand Tomb', 'Poison Sting', 'Rollout']
27;alolan;Sandshrew;50;75;90;10;35;40;['Snow Cloak', 'Slush Rush'];0.5;4;1;1;0.5;0.25;4;0;2;0.5;0.5;0.5;1;1;0.5;1;1;0.5;Mouse Pokemon;ice;steel;0.7;40;50;0;7;220;['Rapid Spin', 'Metal Claw', 'Gyro Ball', 'Iron Head', 'Fury Swipes', 'Blizzard', 'Slash', 'Bide', 'Powder Snow', 'Fury Cutter', 'Ice Ball', 'Swift', 'Scratch']
28;;Sandslash;75;100;110;45;55;65;['Sand Veil', 'Sand Rush'];1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1;Mouse Pokemon;ground;;1;29.5;50;0;1;140;['Rapid Spin', 'Crush Claw', 'Gyro Ball', 'Fury Swipes', 'Earthquake', 'Dig', 'Slash', 'Fury Cutter', 'Magnitude', 'Swift', 'Scratch', 'Sand Tomb', 'Poison Sting', 'Rollout']
28;alolan;Sandslash;75;100;120;25;65;65;['Snow Cloak', 'Slush Rush'];0.5;4;1;1;0.5;0.25;4;0;2;0.5;0.5;0.5;1;1;0.5;1;1;0.5;Mouse Pokemon;ice;steel;1.2;55;50;0;7;140;['Icicle Crash', 'Metal Claw', 'Metal Burst', 'Rapid Spin', 'Iron Head', 'Fury Swipes', 'Icicle Spear', 'Slash', 'Bide', 'Powder Snow', 'Fury Cutter', 'Ice Ball', 'Swift', 'Scratch']
29;;NidoranF;55;47;52;40;40;41;['Poison Point', 'Rivalry', 'Hustle'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Poison Pin Pokemon;poison;;0.4;7;0;0;1;235;['Double Kick', 'Fury Swipes', 'Poison Fang', 'Crunch', 'Bite', 'Scratch', 'Poison Sting']
30;;Nidorina;70;62;67;55;55;56;['Poison Point', 'Rivalry', 'Hustle'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Poison Pin Pokemon;poison;;0.8;20;0;0;1;180;['Double Kick', 'Fury Swipes', 'Poison Fang', 'Crunch', 'Bite', 'Scratch', 'Poison Sting']
31;;Nidoqueen;90;92;87;75;85;76;['Poison Point', 'Rivalry', 'Sheer Force'];1;1;2;0;1;2;0.5;0.25;2;1;2;0.5;0.5;1;1;1;1;0.5;Drill Pokemon;poison;ground;1.3;60;0;0;1;80;['Double Kick', 'Fury Swipes', 'Poison Fang', 'Superpower', 'Body Slam', 'Earth Power', 'Chip Away', 'Bite', 'Crunch', 'Scratch', 'Poison Sting']
32;;NidoranM;46;57;40;40;40;50;['Poison Point', 'Rivalry', 'Hustle'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Poison Pin Pokemon;poison;;0.5;9;100;0;1;235;['Double Kick', 'Fury Attack', 'Poison Jab', 'Horn Drill', 'Horn Attack', 'Peck', 'Poison Sting']
33;;Nidorino;61;72;57;55;55;65;['Poison Point', 'Rivalry', 'Hustle'];1;1;1;1;0.5;1;0.5;0.5;2;1;2;0.5;1;1;1;1;1;0.5;Poison Pin Pokemon;poison;;0.9;19.5;100;0;1;180;['Double Kick', 'Fury Attack', 'Poison Jab', 'Horn Drill', 'Horn Attack', 'Peck', 'Poison Sting']
34;;Nidoking;81;102;77;85;75;85;['Poison Point', 'Rivalry', 'Sheer Force'];1;1;2;0;1;2;0.5;0.25;2;1;2;0.5;0.5;1;1;1;1;0.5;Drill Pokemon;poison;ground;1.4;62;100;0;1;80;['Double Kick', 'Fury Attack', 'Poison Jab', 'Thrash', 'Horn Drill', 'Earth Power', 'Chip Away', 'Horn Attack', 'Peck', 'Megahorn', 'Poison Sting']
35;;Clefairy;70;45;48;60;65;35;['Cute Charm', 'Magic Guard', 'Friend Guard'];1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1;Fairy Pokemon;fairy;;0.6;7.5;24.6;0;1;200;['Magical Leaf', 'Disarming Voice', 'Stored Power', 'Wake-Up Slap', 'Double Slap', 'Body Slam', 'Uproar', 'Moonblast', 'Meteor Mash', 'Pound']
36;;Clefable;95;70;73;95;90;60;['Cute Charm', 'Magic Guard', 'Unaware'];1;1;1;1;1;1;0.5;2;1;1;1;0.5;1;1;0;0.5;2;1;Fairy Pokemon;fairy;;1.3;40;24.6;0;1;110;['Magical Leaf', 'Disarming Voice', 'Stored Power', 'Double Slap', 'Body Slam', 'Wake-up Slap', 'Moonblast', 'Meteor Mash', 'Pound']
37;;Vulpix;38;41;40;50;65;65;['Flash Fire', 'Drought'];1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5;Fox Pokemon;fire;;0.6;9.9;24.6;0;1;225;['Payback', 'Feint Attack', 'Extrasensory', 'Inferno', 'Fire Spin', 'Flame Burst', 'Hex', 'Ember', 'Fire Blast', 'Quick Attack', 'Flamethrower']
37;alolan;Vulpix;38;41;40;50;65;65;['Snow Cloak', 'Snow Warning'];1;2;1;1;1;0.5;2;1;1;1;1;1;2;1;1;1;2;1;Fox Pokemon;ice;;0.6;9.9;24.6;0;7;225;['Payback', 'Icy Wind', 'Feint Attack', 'Extrasensory', 'Aurora Beam', 'Blizzard', 'Hex', 'Powder Snow', 'Ice Shard', 'Ice Beam', 'Sheer Cold']
38;;Ninetales;73;76;75;81;100;100;['Flash Fire', 'Drought'];1;0.5;2;1;0.5;0.5;1;1;2;1;1;0.5;2;1;1;1;0.5;0.5;Fox Pokemon;fire;;1.1;19.9;24.6;0;1;80;['Payback', 'Feint Attack', 'Extrasensory', 'Inferno', 'Fire Spin', 'Flame Burst', 'Hex', 'Ember', 'Fire Blast', 'Quick Attack', 'Flamethrower']
38;alolan;Ninetales;73;67;75;81;100;109;['Snow Cloak', 'Snow Warning'];1;2;1;1;1;0.5;1;2;1;1;1;0.5;2;1;0;0.5;4;1;Fox Pokemon;ice;fairy;1.1;19.9;24.6;0;7;80;['Extrasensory', 'Feint Attack', 'Icy Wind', 'Dazzling Gleam', 'Aurora Beam', 'Hex', 'Ice Shard', 'Powder Snow', 'Ice Beam', 'Sheer Cold']
39;;Jigglypuff;115;45;20;45;25;20;['Cute Charm', 'Competitive', 'Friend Guard'];1;1;1;1;1;1;1;2;1;1;1;0.5;1;0;0;0.5;2;1;Balloon Pokemon;normal;fairy;0.5;5.5;24.6;0;1;240;['Gyro Ball', 'Disarming Voice', 'Wake-Up Slap', 'Double Slap', 'Double-Edge', 'Body Slam', 'Spit Up', 'Uproar', 'Round', 'Hyper Voice', 'Pound', 'Rollout']
40;;Wigglytuff;140;70;45;85;50;45;['Cute Charm', 'Competitive', 'Frisk'];1;1;1;1;1;1;1;2;1;1;1;0.5;1;0;0;0.5;2;1;Balloon Pokemon;normal;fairy;1;12;24.6;0;1;145;['Gyro Ball', 'Disarming Voice', 'Double Slap', 'Double-Edge', 'Body Slam', 'Wake-up Slap', 'Play Rough', 'Spit Up', 'Round', 'Hyper Voice', 'Pound', 'Rollout']
41;;Zubat;40;45;35;30;40;55;['Inner Focus', 'Infiltrator'];1;1;1;2;0.25;2;0.25;0.5;0;1;2;0.25;2;1;1;1;1;0.5;Bat Pokemon;poison;flying;0.8;7.5;50;0;1;250;['Absorb', 'Wing Attack', 'Astonish', 'Leech Life', 'Poison Fang', 'Venoshock', 'Bite', 'Swift', 'Air Cutter', 'Air Slash']
42;;Golbat;75;80;70;65;75;90;['Inner Focus', 'Infiltrator'];1;1;1;2;0.25;2;0.25;0.5;0;1;2;0.25;2;1;1;1;1;0.5;Bat Pokemon;poison;flying;1.6;55;50;0;1;135;['Absorb', 'Wing Attack', 'Astonish', 'Leech Life', 'Poison Fang', 'Venoshock', 'Bite', 'Swift', 'Air Cutter', 'Air Slash']
43;;Oddish;45;50;55;75;65;30;['Chlorophyll', 'Run Away'];1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5;Weed Pokemon;grass;poison;0.5;5.4;50;0;1;205;['Absorb', 'Petal Dance', 'Mega Drain', 'Acid', 'Natural Gift', 'Moonblast', 'Giga Drain']
44;;Gloom;60;65;70;85;75;40;['Chlorophyll', 'Stench'];1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5;Weed Pokemon;grass;poison;0.8;8.6;50;0;1;170;['Absorb', 'Petal Dance', 'Mega Drain', 'Acid', 'Natural Gift', 'Petal Blizzard', 'Moonblast', 'Giga Drain']
45;;Vileplume;75;80;85;110;90;50;['Chlorophyll', 'Effect Spore'];1;2;0.5;0.5;0.25;2;0.5;1;1;2;2;1;1;1;1;1;1;0.5;Flower Pokemon;grass;poison;1.2;18.6;50;0;1;100;['Absorb', 'Petal Dance', 'Solar Beam', 'Mega Drain', 'Acid', 'Natural Gift', 'Petal Blizzard', 'Moonblast', 'Giga Drain']
46;;Paras;35;70;55;45;55;25;['Effect Spore', 'Dry Skin', 'Damp'];1;4;0.5;0.5;0.25;2;0.5;2;0.25;4;1;2;2;1;1;1;1;1;Mushroom Pokemon;bug;grass;0.3;5.4;50;0;1;230;['Absorb', 'Slash', 'Fury Cutter', 'Scratch', 'X-Scissor', 'Giga Drain']
47;;Parasect;60;95;80;60;80;30;['Effect Spore', 'Dry Skin', 'Damp'];1;4;0.5;0.5;0.25;2;0.5;2;0.25;4;1;2;2;1;1;1;1;1;Mushroom Pokemon;bug;grass;1;29.5;50;0;1;170;['Absorb', 'Giga Drain', 'Slash', 'Fury Cutter', 'Cross Poison', 'X-Scissor', 'Scratch']
48;;Venonat;60;55;50;40;55;45;['Compoundeyes', 'Tinted Lens', 'Run Away'];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Insect Pokemon;bug;poison;1;30;50;0;1;215;['Signal Beam', 'Leech Life', 'Poison Fang', 'Tackle', 'Zen Headbutt', 'Psychic', 'Psybeam', 'Confusion']
49;;Venomoth;70;65;60;90;75;90;['Shield Dust', 'Tinted Lens', 'Wonder Skin '];1;2;1;1;0.25;1;0.25;0.5;1;2;2;0.5;2;1;1;1;1;0.5;Poison Moth Pokemon;bug;poison;1.5;12.5;50;0;1;140;['Signal Beam', 'Silver Wind', 'Leech Life', 'Poison Fang', 'Tackle', 'Zen Headbutt', 'Gust', 'Psybeam', 'Confusion', 'Psychic', 'Bug Buzz']
50;;Diglett;10;55;25;35;45;95;['Sand Veil', 'Arena Trap', 'Sand Force'];1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1;Mole Pokemon;ground;;0.2;0.8;50;0;1;240;['Astonish', 'Mud Bomb', 'Fissure', 'Earthquake', 'Mud-Slap', 'Earth Power', 'Sucker Punch', 'Dig', 'Magnitude', 'Slash', 'Bulldoze', 'Scratch']
50;alolan;Diglett;10;55;30;35;45;90;['Sand Veil', 'Tangling Hair', 'Sand Force'];0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5;Mole Pokemon;ground;steel;0.2;1;50;0;7;240;['Metal Claw', 'Astonish', 'Iron Head', 'Fissure', 'Earthquake', 'Mud-Slap', 'Earth Power', 'Sucker Punch', 'Dig', 'Magnitude', 'Bulldoze', 'Mud Bomb']
51;;Dugtrio;35;100;50;50;70;120;['Sand Veil', 'Arena Trap', 'Sand Force'];1;1;2;0;2;2;1;0.5;1;1;1;1;0.5;1;1;1;1;1;Mole Pokemon;ground;;0.7;33.3;50;0;1;150;['Astonish', 'Night Slash', 'Mud Bomb', 'Tri Attack', 'Fissure', 'Earthquake', 'Mud-Slap', 'Earth Power', 'Sucker Punch', 'Dig', 'Magnitude', 'Slash', 'Bulldoze', 'Scratch', 'Sand Tomb']
51;alolan;Dugtrio;35;100;60;50;70;110;['Sand Veil', 'Tangling Hair', 'Sand Force'];0.5;2;2;0;1;1;2;0;2;0.5;0.5;0.5;0.25;1;0.5;1;0.5;0.5;Mole Pokemon;ground;steel;0.7;66.6;50;0;7;150;['Metal Claw', 'Astonish', 'Night Slash', 'Iron Head', 'Tri Attack', 'Fissure', 'Earthquake', 'Mud-Slap', 'Earth Power', 'Sucker Punch', 'Dig', 'Magnitude', 'Bulldoze', 'Mud Bomb', 'Sand Tomb']
52;;Meowth;40;45;35;40;40;90;['Pickup', 'Technician', 'Unnerve'];1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;1;1;1;Scratch Cat Pokemon;normal;;0.4;4.2;50;0;1;230;['Feint Attack', 'Night Slash', 'Fury Swipes', 'Bite', 'Slash', 'Feint', 'Assurance', 'Fake Out', 'Scratch', 'Pay Day']
52;alolan;Meowth;40;35;35;50;40;90;['Pickup', 'Technician', 'Rattled'];1;1;1;1;1;1;2;1;1;1;0;2;1;0.5;1;0.5;1;2;Scratch Cat Pokemon;dark;;0.4;4.2;50;0;7;230;['Feint Attack', 'Night Slash', 'Fury Swipes', 'Dark Pulse', 'Bite', 'Slash', 'Feint', 'Assurance', 'Fake Out', 'Scratch', 'Pay Day']
52;galar;Meowth;50;65;55;40;40;40;['Pickup', 'Tough Claws', 'Unnerve'];0.5;2;1;1;0.5;0.5;2;0;2;0.5;0.5;0.5;0.5;1;0.5;1;0.5;0.5;Scratch Cat Pokemon;steel;;0.4;4.2;50;0;8;230;['Metal Claw', 'Fury Swipes', 'Thrash', 'Slash', 'Fake Out', 'Scratch', 'Pay Day']
