name;type;category;power;priority;contact;sound_type;punch_type;effects;sec_effects;;
Chatter;flying;special;65;0;0;1;0;[];[];The user attacks the target with sound waves of deafening chatter. This confuses the target.;Confuses the opponent
Chip Away;normal;physical;70;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Ignores stat changes
Circle Throw;fighting;physical;60;-6;1;0;0;[];[];The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.;Forces opponent to switch Pokémon.
Clamp;water;physical;35;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Traps opponent.
Clanging Scales;dragon;special;110;0;0;1;0;[];[];The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat goes down after the attack.;Lowers user's Defense one stage.
Clear Smog;poison;special;50;0;0;0;0;[];[];The user attacks the target by throwing a clump of special mud. All stat changes are returned to normal.;Removes all stat changes
Close Combat;fighting;physical;120;0;1;0;0;[];[];The user fights the target up close without guarding itself. This also lowers the user's Defense and Sp. Def stats.;Lowers user's Defense & Special Defense stats by one stage.
Comet Punch;normal;physical;72;0;1;0;1;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (18 power)
Confusion;psychic;special;50;0;0;0;0;[];[];The target is hit by a weak telekinetic force. This may also confuse the target.;May induce Confusion
Constrict;normal;physical;10;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;May lower opponent's Speed one stage.
Core Enforcer;dragon;special;100;0;0;0;0;[];[];If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target's Ability.;If used after the target Attacks, the target's ability is removed
Counter;fighting;physical;60;-5;1;0;0;[];[];A retaliation move that counters any physical attack, inflicting double the damage taken.;If hit by a physical Attack, deals double the damage received. (1 power)
Covet;normal;physical;60;0;1;0;0;[];[];The user endearingly approaches the target, then steals the target's held item.;May steal opponent's item (temporarily in trainer battles).
Crabhammer;water;physical;100;0;1;0;0;[];[];The target is hammered with a large pincer. Critical hits land more easily.;Has an increased Critical Hit ratio
Cross Chop;fighting;physical;100;0;1;0;0;[];[];The user delivers a double chop with its forearms crossed. Critical hits land more easily.;Has an increased Critical Hit ratio
Cross Poison;poison;physical;70;0;1;0;0;[];[];A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.;Has high critical hit ratio. May induce poison.
Crunch;dark;physical;80;0;1;0;0;[];[];The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.;May lower opponent's Defense one stage.
Crush Claw;normal;physical;75;0;1;0;0;[];[];The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.;May lower opponent's Defense one stage.
Crush Grip;normal;physical;70;0;1;0;0;[];[];The target is crushed with great force. The more HP the target has left, the greater this move's power.;[DEPTH]Increases damage the higher the target's Hit Points (1 power)
Cut;normal;physical;50;0;1;0;0;[];[];The target is cut with a scythe or claw.;No effect.
Dark Pulse;dark;special;80;0;0;0;0;[];[];The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.;May cause opponent to flinch.
Darkest Lariat;dark;physical;85;0;1;0;0;[];[];The user swings both arms and hits the target. The target's stat changes don't affect this attack's damage.;Ignores stat changes
Dazzling Gleam;fairy;special;80;0;0;0;0;[];[];The user damages opposing Pokémon by emitting a powerful flash.;No effect.
Diamond Storm;rock;physical;100;0;0;0;0;[];[];The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user's Defense stat.;May raise user's Defense 2 stages
Dig;ground;physical;80;0;1;0;0;[];[];The user burrows into the ground, then attacks on the next turn.;The user is protected the first turn, Attacks the second turn.
Disarming Voice;fairy;special;40;0;0;1;0;[];[];Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.;Never Misses.
Discharge;electric;special;80;0;0;0;0;[];[];The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.;May induce paralysis.
Dive;water;physical;80;0;1;0;0;[];[];Diving on the first turn, the user floats up and attacks on the next turn.;The user is protected the first turn, Attacks the second turn.
Dizzy Punch;normal;physical;70;0;1;0;1;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;May induce Confusion
Doom Desire;steel;special;140;0;0;0;0;[];[];Two turns after this move is used, a concentrated bundle of light blasts the target.;Damage delays 2 turns.
Double Hit;normal;physical;70;0;1;0;0;[];[];The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.;Attacks twice in a row. (35 power)
Double Iron Bash;steel;physical;60;0;1;0;1;[];[];The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch.;May cause opponent to flinch.
Double Kick;fighting;physical;60;0;1;0;0;[];[];The target is quickly kicked twice in succession using both feet.;Attacks twice in a row. (30 power)
Double Slap;normal;physical;60;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (15 power)
Double-Edge;normal;physical;120;0;1;0;0;[];[];A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot.;User takes recoil damage equal to a third of the damage inflicted.
Dragon Breath;dragon;special;60;0;0;0;0;[];[];The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.;May induce paralysis.
Dragon Claw;dragon;physical;80;0;1;0;0;[];[];The user slashes the target with huge sharp claws.;No effect.
Dragon Darts;dragon;physical;100;0;0;0;0;[];[];The user attacks twice using Dreepy. If there are two targets, this move hits each target once.;In Doubles, if one of the two opponents protects or is a Fairy-type Pokémon, it hits the opponent that doesn't protect twice. (50 power)
Dragon Hammer;dragon;physical;90;0;1;0;0;[];[];The user uses its body like a hammer to attack the target and inflict damage.;No effect.
Dragon Pulse;dragon;special;85;0;0;0;0;[];[];The target is attacked with a shock wave generated by the user's gaping mouth.;No effect.
Dragon Rage;dragon;special;80;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Inflicts 40 HP damage. (1 power)
Dragon Rush;dragon;physical;100;0;1;0;0;[];[];The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.;May cause opponent to flinch.
Dragon Tail;dragon;physical;60;-6;1;0;0;[];[];The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.;Forces opponent to switch Pokémon.
Drain Punch;fighting;physical;75;0;1;0;1;[];[];An energy-draining punch. The user's HP is restored by half the damage taken by the target.;User recovers half the damage inflicted.
Draining Kiss;fairy;special;50;0;1;0;0;[];[];The user steals the target's HP with a kiss. The user's HP is restored by over half of the damage taken by the target.;User recovers 75% the damage inflicted.
Dream Eater;psychic;special;100;0;0;0;0;[];[];The user eats the dreams of a sleeping target. The user's HP is restored by half the damage taken by the target.;User recovers half the damage inflicted on a sleeping opponent.
Drill Peck;flying;physical;80;0;1;0;0;[];[];A corkscrewing attack that strikes the target with a sharp beak acting as a drill.;No effect.
Drill Run;ground;physical;80;0;1;0;0;[];[];The user crashes into its target while rotating its body like a drill. Critical hits land more easily.;Has an increased Critical Hit ratio
Drum Beating;grass;physical;80;0;0;0;0;[];[];The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat.;Lowers opponent's Speed one stage.
Dual Chop;dragon;physical;80;0;1;0;0;[];[];The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.;Attacks twice in a row. (40 power)
Dynamax Cannon;dragon;special;100;0;0;0;0;[];[];The user unleashes a strong beam from its core. This move deals twice the damage if the target is Dynamaxed.;Increases damage by 100% if target is Dynamaxed
Dynamic Punch;fighting;physical;100;0;1;0;1;[];[];The user punches the target with full, concentrated power. This confuses the target if it hits.;May induce Confusion
Earth Power;ground;special;90;0;0;0;0;[];[];The user makes the ground under the target erupt with power. This may also lower the target's Sp. Def stat.;May lower opponent's Special Defense one stage.
Earthquake;ground;physical;100;0;0;0;0;[];[];The user sets off an earthquake that strikes every Pokémon around it.;Hits everyone on the field.
Echoed Voice;normal;special;40;0;0;1;0;[];[];The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.;[DEPTH]Increases power if used consecutively
Egg Bomb;normal;physical;100;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;No effect.
Electro Ball;electric;special;50;0;0;0;0;[];[];The user hurls an electric orb at the target. The faster the user is than the target, the greater the move's power.;[DEPTH]Increases damage based on the Speed of the user and opponent (1 power)
Electroweb;electric;special;55;0;0;0;0;[];[];The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.;Lowers opponent's Speed one stage.
Ember;fire;special;40;0;0;0;0;[];[];The target is attacked with small flames. This may also leave the target with a burn.;May induce burn.
Endeavor;normal;physical;75;0;1;0;0;[];[];This attack move cuts down the target's HP to equal the user's HP.;Reduces the target's Hit Points to match the current Hit Points of the user. (1 power)
Energy Ball;grass;special;90;0;0;0;0;[];[];The user draws power from nature and fires it at the target. This may also lower the target's Sp. Def stat.;May lower opponent's Special Defense one stage.
Eruption;fire;special;120;0;0;0;0;[];[];The user attacks opposing Pokémon with explosive fury. The lower the user's HP, the lower the move's power.;[DEPTH]Inflicts more damage when the user's HP is high. (150 power)
Eternabeam;dragon;special;80;0;0;0;0;[];[];This is Eternatus's most powerful attack in its original form. The user can't move on the next turn.;User cannot Attack on the next turn. (160 power)
Explosion;normal;physical;100;0;0;0;0;[];[];The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.;User faints (250 power)
Extrasensory;psychic;special;80;0;0;0;0;[];[];The user attacks with an odd, unseeable power. This may also make the target flinch.;May cause opponent to flinch.
Extreme Speed;normal;physical;80;2;1;0;0;[];[];The user charges the target at blinding speed. This move always goes first.;Has increased Speed Priority
Facade;normal;physical;70;0;1;0;0;[];[];This attack move doubles its power if the user is poisoned, burned, or paralyzed.;Move's power is doubled if afflicted with a Status Condition
Fairy Wind;fairy;special;40;0;0;0;0;[];[];The user stirs up a fairy wind and strikes the target with it.;No effect.
Fake Out;normal;physical;40;3;1;0;0;[];[];This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.;Causes opponent to flinch.
False Surrender;dark;physical;80;0;1;0;0;[];[];The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.;Never Misses.
False Swipe;normal;physical;40;0;1;0;0;[];[];A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.;Leaves the foe with at least 1 HP.
Feint;normal;physical;30;2;0;0;0;[];[];This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.;Ignores & removes Protect & Detect
Feint Attack;dark;physical;60;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;Cannot miss.
Fell Stinger;bug;physical;50;0;1;0;0;[];[];When the user knocks out a target with this move, the user's Attack stat rises drastically.;Raises user's Attack three stages if it knocks the target out.
Fiery Dance;fire;special;80;0;0;0;0;[];[];Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user's Sp. Atk stat.;May raise user's Special Attack one stage
Final Gambit;fighting;special;110;0;0;0;0;[];[];The user risks everything to attack its target. The user faints but does damage equal to its HP.;User faints. Does damage to the opponent equal to the amount of lost HP on the user. (1 power)
Fire Blast;fire;special;110;0;0;0;0;[];[];The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.;May induce burn.
Fire Fang;fire;physical;65;0;1;0;0;[];[];The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.;May BURN opponent or cause opponent to flinch.
Fire Lash;fire;physical;80;0;1;0;0;[];[];The user strikes the target with a burning lash. This also lowers the target's Defense stat.;Lowers opponent's Defense one stage.
Fire Punch;fire;physical;75;0;1;0;1;[];[];The target is punched with a fiery fist. This may also leave the target with a burn.;May induce burn.
Fire Spin;fire;special;35;0;0;0;0;[];[];The target becomes trapped within a fierce vortex of fire that rages for four to five turns.;Traps opponent.
First Impression;bug;physical;90;2;1;0;0;[];[];Although this move has great power, it only works the first turn each time the user enters battle.;Only works on first turn user is in battle
Fishious Rend;water;physical;85;0;1;0;0;[];[];The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled.;Doubles damage if the user moves before the target
Fissure;ground;physical;90;0;0;0;0;[];[];The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.;May cause one-hit KO. (1 power)
Flail;normal;physical;80;0;1;0;0;[];[];The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.;Inflicts more damage when the user's HP is down. (1 power)
Flame Burst;fire;special;70;0;0;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;[DEPTH]Damages Pokémon to the side of the target equal to 1/16th of their max Hit Points
Flame Charge;fire;physical;50;0;1;0;0;[];[];Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat.;Raises user's Speed one stage.
Flame Wheel;fire;physical;60;0;1;0;0;[];[];The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.;May induce burn.
Flamethrower;fire;special;90;0;0;0;0;[];[];The target is scorched with an intense blast of fire. This may also leave the target with a burn.;May induce burn.
Flare Blitz;fire;physical;120;0;1;0;0;[];[];The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.;User receives 1/3rd of damage in re-coil. May BURN opponent.
Flash Cannon;steel;special;80;0;0;0;0;[];[];The user gathers all its light energy and releases it all at once. This may also lower the target's Sp. Def stat.;May lower opponent's Special Defense one stage.
Fleur Cannon;fairy;special;130;0;0;0;0;[];[];The user unleashes a strong beam. The attack's recoil harshly lowers the user's Sp. Atk stat.;Lowers user's Special Attack two stages.
Fling;dark;physical;60;0;0;0;0;[];[];The user flings its held item at the target to attack. This move's power and effects depend on the item.;[DEPTH]Item's power and effects change based on the user's hold item. User no longer has the hold item. (1 power)
Fly;flying;physical;90;0;1;0;0;[];[];The user flies up into the sky and then strikes its target on the next turn.;The user is protected the first turn, Attacks the second turn.
Flying Press;fighting;physical;100;0;1;0;0;[];[];The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.;[DEPTH]Has a secondary Flying-type
Focus Blast;fighting;special;120;0;0;0;0;[];[];The user heightens its mental focus and unleashes its power. This may also lower the target's Sp. Def stat.;May lower opponent's Special Defense one stage.
Focus Punch;fighting;physical;150;-3;1;0;1;[];[];The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.;Moves first in turn to charge, and last in the same turn to Attack. If damaged between this, the user flinches.
Force Palm;fighting;physical;60;0;1;0;0;[];[];The target is attacked with a shock wave. This may also leave the target with paralysis.;May induce paralysis.
Foul Play;dark;physical;95;0;1;0;0;[];[];The user turns the target's power against it. The higher the target's Attack stat, the greater the damage it deals.;[DEPTH]Users the opponent's Attack stat in damage calculation
Freeze Shock;ice;physical;140;0;0;0;0;[];[];On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis.;May induce paralysis.
Freeze-Dry;ice;special;70;0;0;0;0;[];[];The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.;[DEPTH]Will always have a Super Effective hit on Water-type Pokémon
Frost Breath;ice;special;60;0;0;0;0;[];[];The user blows its cold breath on the target. This attack always results in a critical hit.;Always inflicts a Critical Hit
Frustration;normal;physical;50;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;[DEPTH]The less happy the user, the stronger the Attack. (1 power)
Fury Attack;normal;physical;60;0;1;0;0;[];[];The target is jabbed repeatedly with a horn or beak two to five times in a row.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (15 power)
Fury Cutter;bug;physical;40;0;1;0;0;[];[];The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.;Move's power raises next turn if the move is successful.
Fury Swipes;normal;physical;72;0;1;0;0;[];[];The target is raked with sharp claws or scythes quickly two to five times in a row.;Attacks 2-5 times in a row. 37.5% chance of 2 hits. 37.5% chance of 3 hits. 12.5% chance of 4 hits. 12.5% chance of 5 hits (18 power)
Fusion Bolt;electric;physical;100;0;0;0;0;[];[];The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.;[DEPTH]Doubles damage if ally used Fusion Flare this turn
Fusion Flare;fire;special;100;0;0;0;0;[];[];The user brings down a giant flame. This move's power is increased when influenced by an enormous lightning bolt.;[DEPTH]Doubles damage if ally used Fusion Bolt this turn
Future Sight;psychic;special;120;0;0;0;0;[];[];Two turns after this move is used, a hunk of psychic energy attacks the target.;[DEPTH]Damage delays 2 turns.
Gear Grind;steel;physical;50;0;1;0;0;[];[];The user attacks by throwing steel gears at its target twice.;Attacks twice in a row.
Giga Drain;grass;special;75;0;0;0;0;[];[];A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.;User recovers half the damage inflicted.
Giga Impact;normal;physical;150;0;1;0;0;[];[];The user charges at the target using every bit of its power. The user can't move on the next turn.;User cannot Attack on the next turn.
Glaciate;ice;special;65;0;0;0;0;[];[];The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stats.;Lowers opponent's Speed one stage.
Grass Knot;grass;special;55;0;1;0;0;[];[];The user snares the target with grass and trips it. The heavier the target, the greater the move's power.;[DEPTH]Damage inflicted raises the heavier the opponent is. (1 power)
Grav Apple;grass;physical;80;0;0;0;0;[];[];The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.;Lowers opponent's Defense one stage.
Guillotine;normal;physical;90;0;1;0;0;[];[];A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.;May cause one-hit KO. (1 power)
Gunk Shot;poison;physical;120;0;0;0;0;[];[];The user shoots filthy garbage at the target to attack. This may also poison the target.;May induce poison.
Gust;flying;special;40;0;0;0;0;[];[];A gust of wind is whipped up by wings and launched at the target to inflict damage.;Hits opponents using Fly
Gyro Ball;steel;physical;60;0;1;0;0;[];[];The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power.;[DEPTH]Increases power the lower the target's Speed (1 power)
Hammer Arm;fighting;physical;100;0;1;0;1;[];[];The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.;Lowers user's Speed one stage.
Head Charge;normal;physical;120;0;1;0;0;[];[];The user charges its head into its target, using its powerful guard hair. This also damages the user a little.;User takes recoil damage equal to 25% of the damage inflicted.
Head Smash;rock;physical;150;0;1;0;0;[];[];The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly.;User receives half the damage inflicted in recoil
Headbutt;normal;physical;70;0;1;0;0;[];[];The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.;May cause opponent to flinch.
Heart Stamp;psychic;physical;60;0;1;0;0;[];[];This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.;May cause opponent to flinch.
